ID,Name,Type,DOE,Total,Used,Stock,Cost
1,LIGNOCAINE,ANASTHETICS,13/12/2022,50,0,50,60
2,PRILOCAINE,ANASTHETICS,18/08/2022,50,8,42,30
3,ALPRAZOLAM,PREANASTHETIC,17/08/2023,50,7,43,45
4,AMITRIPTYLINE,PREANASTHETIC,27/08/2023,50,19,31,90
6,PARACETAMOL,NSAIDS,19/04/2022,50,20,30,50
7,DICLOFENAC,NSAIDS,18/08/2023,50,35,15,90
8,PIROXICAM,NSAIDS,25/08/2023,50,6,44,100
9,MEFENAMIC,NSAIDS,25/08/2024,50,7,43,150
10,LORNOXICAM,NSAIDS,18/08/2024,50,12,38,80
11,ETORICOXIB,NSAIDS,18/08/2024,50,44,6,30
12,TRAMADOL,ANALGESICS,24/10/2022,50,19,31,70
13,PENTAZOCINE,ANALGESICS,18/08/2023,50,18,32,50
14,ADRENALINE,ANTIALLERGICS,13/08/2022,50,26,24,80
15,EBASTINE,ANTIALLERGICS,26/07/2022,50,45,5,90
16,LORATADINE,ANTIALLERGICS,18/08/2023,50,50,0,100
17,DESLORATIDINE,ANTIALLERGICS,18/08/2022,50,14,36,80
18,IBUPROFEN,ANTI INFLAMMATORY,29/12/2022,22,2,20,200
19,ADVIL ,ANTI INFLAMMATORY ,27/12/2022,8,2,6,100
